From Date,PM2.5,PM10,NO2,SO2,NOx,CO,NH3,Ozone,AQI_calculated
2023-01-02,56.98428571428571,91.04285714285712,39.22857142857144,16.257142857142856,53.98285714285714,0.9357142857142856,30.6,22.61,213.66666666666663
2023-01-03,59.68571428571429,94.7757142857143,47.50714285714286,13.237142857142857,71.29857142857142,1.0,33.364285714285714,23.99,250.83333333333331
2023-01-04,65.22285714285714,107.88714285714286,45.565714285714286,13.544285714285715,66.76857142857143,0.9785714285714284,31.59714285714286,24.301428571428573,244.16666666666663
2023-01-05,71.00142857142858,125.29285714285712,46.88428571428572,18.47,72.42142857142858,1.092857142857143,33.99571428571429,23.96142857142857,256.8333333333333
2023-01-06,71.39857142857143,120.19571428571427,42.76857142857143,19.172857142857143,62.10285714285715,1.0814285714285714,34.34428571428571,22.17571428571429,250.83333333333331
2023-01-07,65.01428571428572,89.94857142857143,43.01428571428571,11.234285714285717,66.94571428571429,0.8357142857142856,35.392857142857146,19.202857142857145,218.8
2023-01-08,72.85285714285715,64.11999999999999,21.618571428571425,8.26,30.99,0.6285714285714287,27.215714285714284,25.96142857142857,256.2
2023-01-09,66.78142857142856,115.73857142857142,33.26714285714286,16.702857142857145,45.6,0.9828571428571428,37.51,21.835714285714285,222.33333333333331
2023-01-10,60.11571428571428,104.61142857142856,36.23142857142857,15.145714285714286,51.30285714285714,0.9157142857142856,35.107142857142854,21.062857142857144,207.5
2023-01-11,60.38,101.06428571428572,46.82428571428572,18.95,72.75000000000001,0.9542857142857144,37.15857142857143,26.59714285714286,215.16666666666663
2023-01-12,49.53,104.32,40.89857142857143,15.795714285714284,58.25428571428571,0.8871428571428571,37.29,27.72142857142857,182.83333333333331
2023-01-13,41.28285714285715,90.43857142857144,32.43714285714286,13.115714285714288,49.96428571428572,0.7999999999999999,39.05285714285714,22.78714285714286,173.83333333333334
2023-01-14,39.135714285714286,79.70714285714287,30.385714285714283,16.087142857142858,46.27,0.7571428571428571,38.73714285714285,24.042857142857144,161.66666666666666
2023-01-15,45.53285714285715,82.74714285714286,30.978571428571428,23.625714285714285,57.771428571428565,0.8628571428571429,39.00142857142857,21.237142857142857,189.66666666666663
2023-01-16,46.22428571428571,84.60571428571428,31.625714285714285,37.76857142857143,46.777142857142856,0.9371428571428572,40.30142857142857,22.458571428571428,181.33333333333331
2023-01-17,48.61,88.48142857142857,48.24142857142857,17.984285714285715,85.4557142857143,1.0342857142857145,37.96571428571429,17.437142857142856,224.33333333333331
2023-01-18,45.33,46.28857142857142,25.15142857142857,13.321428571428571,36.58285714285714,0.6885714285714286,30.395714285714288,15.04857142857143,226.5
2023-01-19,50.39,60.42714285714286,25.444285714285712,15.14,45.58285714285714,0.8471428571428571,29.354285714285712,22.93142857142857,198.6
2023-01-20,47.58571428571429,67.78428571428572,23.83,14.978571428571428,33.76428571428571,0.75,29.738571428571426,24.082857142857144,186.4
2023-01-21,45.71571428571429,91.73571428571428,44.54285714285714,19.6,61.285714285714285,0.93,37.05,22.69142857142857,179.66666666666666
2023-01-22,39.86,85.02142857142857,55.15714285714286,17.13142857142857,80.55,0.7157142857142856,9.53285714285714,24.077142857142857,178.2
2023-01-23,54.78142857142858,114.8814285714286,57.111428571428576,19.748571428571427,77.34857142857142,1.02,20.635714285714283,22.408571428571427,183.16666666666663
2023-01-24,55.72571428571428,99.96714285714286,43.94714285714286,20.414285714285715,57.02285714285714,0.9871428571428572,10.561428571428571,21.97,158.5
2023-01-25,62.26285714285715,109.71857142857142,51.642857142857146,19.321428571428573,70.84285714285714,0.9985714285714286,8.92,21.09857142857143,195.33333333333331
2023-01-26,58.40571428571429,100.28571428571428,42.38142857142857,18.822857142857146,58.80428571428571,0.92,10.52142857142857,21.648571428571422,179.33333333333334
2023-01-27,63.535714285714285,111.11142857142856,48.76428571428572,20.897142857142857,68.30285714285714,0.9442857142857142,12.42,19.04,198.0
2023-01-28,52.621428571428574,102.0942857142857,39.12428571428571,20.91,61.10714285714285,0.98,10.854285714285714,16.664285714285715,162.5
2023-01-29,60.78857142857142,109.39428571428572,31.15142857142857,20.462857142857143,46.98714285714285,1.0014285714285711,6.181428571428571,14.432857142857143,189.16666666666663
2023-01-30,44.08142857142857,84.94428571428571,14.834285714285716,16.24285714285714,29.53,0.7257142857142858,5.767142857142857,11.965714285714286,169.0
2023-01-31,56.612857142857145,78.14999999999999,17.344285714285714,19.75142857142857,31.638571428571428,0.7957142857142857,8.147142857142857,15.538571428571428,168.5
2023-02-01,61.43,72.87571428571428,16.591428571428573,18.49571428571429,37.81,0.7728571428571429,6.68,14.027142857142858,172.66666666666666
